,words,occurrences
0,dremi,1
1,thank,36
2,yoooou,1
3,saruei,72
4,merry,1
5,christmas,1
6,legitsimvampire,4
7,you,1
8,look,9
9,amaze,8
10,twt,1
11,kyjsogom,1
12,cute,5
13,show,1
14,ever,1
15,do,3
16,work,9
17,visual,2
18,novels,1
19,thiefmaster,1
20,try,3
21,beeest,1
22,vladimir,1
23,tanteinotruth,1
24,thankyouuuu,1
25,farouqalbhaissi,1
26,amp,1
27,best,3
28,see,4
29,sadfishy,1
30,thorroach,1
31,knooooowww,1
32,happy,2
33,impressive,1
34,keep,2
35,jeanne,1
36,cuties,1
37,watch,4
38,judge,1
39,anyone,1
40,promote,2
41,twitter,4
42,since,2
43,whatsapp,3
44,whatsappdown,2
45,vtuber,5
46,dontjudge,1
47,trend,1
48,youtubeindia,2
49,youtube,3
50,video,3
51,link,1
52,whatsappupdate,1
53,twiiter,1
54,subscribe,2
55,enjoy,2
56,weeniedesu,1
57,art,9
58,animation,2
59,always,3
60,turn,1
61,well,3
62,briantsuii,5
63,aaah,1
64,animations,1
65,tt,3
66,itsavient,5
67,awesome,5
68,hkragno,2
69,yuriambassador,1
70,josefcd,2
71,wonderful,2
72,sinerydihiroze,1
73,hyuki,1
74,rushi,1
75,oh,4
76,booooooooooi,1
77,piksydragon,1
78,beutiful,1
79,marichan,1
80,grats,1
81,say,1
82,yesterday,1
83,anime,1
84,chat,1
85,discord,1
86,bless,1
87,okotomi,1
88,yay,1
89,congrats,3
90,im,1
91,terrible,1
92,game,1
93,havent,1
94,get,3
95,one,1
96,star,1
97,yet,1
98,least,1
99,fgo,4
100,jp,1
101,mercy,1
102,ishtar,1
103,spend,1
104,money,1
105,quartz,1
106,nothing,1
107,gacha,2
108,hate,1
109,life,1
110,neomariiko,1
111,alright,1
112,accept,1
113,send,1
114,friend,3
115,request,1
116,yeah,2
117,guda,2
118,event,2
119,really,2
120,time,3
121,consume,1
122,code,1
123,mind,1
124,omegayato,2
125,woooh,1
126,goodjob,1
127,nt,3
128,gudaguda,1
129,honnouji,1
130,love,3
131,first,3
132,full,1
133,channel,1
134,internationalmensday,1
135,imaceleb,1
136,youtuber,1
137,bbkivines,1
138,indianvines,1
139,comedyvideos,1
140,bhojpuri,1
141,sundayfunday,1
142,funny,1
143,videos,1
144,leagueoffanarts,2
145,delete,2
146,retweet,1
147,fan,2
148,post,4
149,page,1
150,absolutely,1
151,fantastic,1
152,would,2
153,perhaps,1
154,interest,1
155,novel,1
156,project,1
157,please,2
158,message,1
159,anytime,1
160,strong,1
161,enough,1
162,face,1
163,reality,1
164,rather,1
165,fake,1
166,dream,1
167,photoshoot,1
168,iger,1
169,longhairdontcare,1
170,beardgang,1
171,beard,1
172,photogenic,1
173,beingyourself,1
174,rayban,1
175,fun,2
176,peace,1
177,senpai,1
178,notice,1
179,dank,1
180,jiggle,1
181,make,3
182,want,3
183,animate,1
184,moment,1
185,saw,1
186,draft,1
187,know,1
188,gon,2
189,na,2
190,great,3
191,godness,1
192,jadore,1
193,collaboration,1
194,mashu,1
195,fatego,2
196,live,2
197,spooky,2
198,new,2
199,malaysia,2
200,vlog,1
201,sunway,1
202,lagoon,1
203,wildlife,1
204,park,1
205,sunwaylagoon,1
206,mash,1
207,forward,1
208,sarueiequalsgreatness,1
209,godddd,1
210,sorry,2
211,nobu,1
212,right,1
213,power,1
214,roll,1
215,break,1
216,tomoe,1
217,gl,1
218,grind,1
219,cupcakes,1
220,stack,1
221,irisviel,1
222,craft,1
223,godly,1
224,collect,1
225,eli,1
226,caster,1
227,youuuuuu,1
228,finally,1
229,pleasure,1
230,eye,1
231,blindtater,2
232,much,2
233,ohgosh,1
234,ll,1
235,possible,1
236,lol,1
237,yeeessss,1
238,goood,1
239,unleash,1
240,upon,1
241,them,1
242,keithxoc,1
243,oook,1
244,fly,1
245,away,1
246,feel,2
247,big,1
248,urge,1
249,write,1
250,fanfiction,1
251,keith,1
252,voltron,1
253,kill,2
254,hawkbrandfh,1
255,beautiful,3
256,pretty,1
257,ya,1
258,drink,2
259,monster,2
260,be,2
261,doodlerush,1
262,aby,1
263,dear,2
264,netfrost,1
265,like,3
266,die,1
267,slowly,1
268,inside,1
269,ca,2
270,wait,1
271,access,1
272,two,1
273,latest,1
274,artworks,1
275,patreon,1
276,per,1
277,month,1
278,finish,1
279,original,1
280,artwork,1
281,another,1
282,contest,3
283,mangadraft,1
284,th,1
285,dreamerg,1
286,even,2
287,better,1
288,third,1
289,screen,1
290,cold,1
291,bxakid,1
292,way,1
293,stop,1
294,draw,4
295,ultrared,1
296,approve,1
297,asuna,1
298,sword,1
299,online,1
300,yooou,2
301,gt,1
302,wizeefr,1
303,merci,2
304,good,5
305,luke,1
306,entry,2
307,csp,1
308,leave,1
309,comment,1
310,help,1
311,win,1
312,wish,1
313,everyone,1
314,witchy,1
315,october,1
316,luck,2
317,thankyou,1
318,hope,1
319,still,1
320,lil,1
321,priiiiize,1
322,sure,2
323,resurrec,1
324,clip,1
325,studio,1
326,paint,2
327,theme,1
328,travel,1
329,stress,1
330,pixiv,2
331,history,1
332,analyze,1
333,activity,1
334,data,1
335,result,1
336,toi,1
337,hiiii,1
338,okay,1
339,despairparadise,1
340,humm,1
341,re,2
342,marythelifexp,1
343,dem,1
344,boobies,1
345,job,1
346,tho,1
347,goin,1
348,medotekgaming,1
349,eilyam,1
350,isaacsalguero,1
351,eliseanko,1
352,beaucoup,1
353,sans,1
354,sous,1
355,ah,1
356,follow,4
357,omg,1
358,ur,2
359,modered,1
360,adorable,1
361,incredible,1
362,god,1
363,nice,1
364,nolweon,2
365,mention,1
366,retweeting,1
367,lot,1
368,tweet,1
369,followers,1
370,old,1
371,davideo,1
372,cintiq,1
373,hd,1
374,skapandi,1
375,sonuoseaner,1
376,thankya,1
377,yaaaaaaaay,1
378,hard,1
379,owo,1
380,hair,1
